user_sequence,challenge
5849_11,CI26939
5853_11,CI26211
5858_11,CI26216
5863_11,CI25075
5868_11,CI26192
5869_11,CI26939
5871_11,CI26173
5873_11,CI26501
5875_11,CI25175
5877_11,CI23924
5878_11,CI24257
5881_11,CI27669
5882_11,CI26213
5885_11,CI26209
5886_11,CI23714
5887_11,CI28582
5888_11,CI25124
5889_11,CI23663
5892_11,CI24530
5894_11,CI23663
5896_11,CI26214
5897_11,CI25142
5898_11,CI26215
5899_11,CI24958
5903_11,CI26961
5904_11,CI23975
5909_11,CI24915
5912_11,CI26216
5915_11,CI26209
5924_11,CI26209
5925_11,CI25143
5930_11,CI26956
5931_11,CI26214
5932_11,CI24187
5936_11,CI24930
5937_11,CI24530
5938_11,CI25302
5939_11,CI26213
5941_11,CI24876
5944_11,CI24926
5948_11,CI26209
5951_11,CI25135
5952_11,CI28585
5953_11,CI23714
5955_11,CI23913
5957_11,CI26209
5958_11,CI26960
5959_11,CI27664
5960_11,CI26214
5964_11,CI26175
5967_11,CI27662
5970_11,CI27660
5971_11,CI26219
5975_11,CI23913
5976_11,CI24915
5980_11,CI24868
5983_11,CI24915
5984_11,CI23691
5986_11,CI24527
5989_11,CI26918
5990_11,CI25727
5994_11,CI26209
6001_11,CI26175
6002_11,CI23648
6004_11,CI26939
6006_11,CI24527
6008_11,CI25125
6009_11,CI24187
6014_11,CI23663
6015_11,CI26220
6017_11,CI23663
6019_11,CI26949
6022_11,CI26209
6024_11,CI26501
6026_11,CI27661
6027_11,CI24927
6031_11,CI26943
6033_11,CI26212
6039_11,CI24533
6043_11,CI26916
6044_11,CI26209
6047_11,CI26214
6057_11,CI24992
6063_11,CI26902
6065_11,CI23663
6073_11,CI26214
6079_11,CI24866
6083_11,CI26217
6085_11,CI24935
6088_11,CI26208
6091_11,CI26213
6096_11,CI26214
6098_11,CI27660
6103_11,CI23663
6107_11,CI26219
6109_11,CI26175
6111_11,CI26213
6112_11,CI28580
6113_11,CI25135
6115_11,CI26214
6124_11,CI26212
6126_11,CI24188
6127_11,CI28580
6136_11,CI25075
6138_11,CI26961
6142_11,CI24958
6145_11,CI23848
6151_11,CI24956
6157_11,CI23933
6159_11,CI25075
6163_11,CI26214
6164_11,CI26209
6165_11,CI24187
6170_11,CI27034
6171_11,CI26212
6172_11,CI26214
6176_11,CI28573
6182_11,CI26209
6187_11,CI26209
6189_11,CI24866
6190_11,CI26212
6191_11,CI23663
6197_11,CI26049
6199_11,CI26209
6203_11,CI25124
6204_11,CI24942
6210_11,CI23714
6211_11,CI26916
6212_11,CI23790
6214_11,CI24230
6215_11,CI24530
6218_11,CI26214
6222_11,CI23855
6223_11,CI23663
6226_11,CI26959
6229_11,CI26221
6233_11,CI26209
6237_11,CI23691
6239_11,CI27665
6240_11,CI24527
6241_11,CI24138
6243_11,CI26214
6245_11,CI25075
6246_11,CI26954
6249_11,CI26958
6252_11,CI23667
6258_11,CI24955
6261_11,CI26214
6268_11,CI28569
6272_11,CI23667
6273_11,CI26961
6274_11,CI24953
6277_11,CI23848
6278_11,CI26214
6281_11,CI28569
6282_11,CI26214
6285_11,CI26215
6287_11,CI26219
6288_11,CI26175
6289_11,CI23648
6296_11,CI25123
6297_11,CI26216
6299_11,CI23836
6303_11,CI23975
6307_11,CI26216
6309_11,CI23848
6312_11,CI27668
6315_11,CI26210
6318_11,CI26208
6329_11,CI26175
6333_11,CI27031
6338_11,CI24522
6342_11,CI23546
6344_11,CI25053
6347_11,CI28576
6356_11,CI26953
6358_11,CI26221
6361_11,CI26939
6365_11,CI25135
6374_11,CI26961
6378_11,CI26939
6379_11,CI26154
6381_11,CI26961
6382_11,CI24915
6386_11,CI26212
6389_11,CI26952
6390_11,CI24953
6391_11,CI23691
6392_11,CI26956
6395_11,CI24228
6396_11,CI26215
6399_11,CI26957
6400_11,CI26219
6401_11,CI26219
6409_11,CI26214
6410_11,CI23975
6411_11,CI26956
6415_11,CI26956
6416_11,CI26216
6420_11,CI26959
6425_11,CI26221
6427_11,CI26221
6428_11,CI24958
6430_11,CI28568
6434_11,CI26961
6435_11,CI23975
6439_11,CI24917
6446_11,CI26214
6450_11,CI28584
6451_11,CI23714
6456_11,CI26219
6467_11,CI23769
6470_11,CI23663
6471_11,CI23663
6477_11,CI28576
6479_11,CI26209
6481_11,CI26958
6482_11,CI26945
6486_11,CI26941
6491_11,CI23933
6492_11,CI25123
6493_11,CI23663
6496_11,CI26959
6499_11,CI24931
6500_11,CI26213
6505_11,CI25135
6506_11,CI26214
6513_11,CI27805
6514_11,CI26957
6516_11,CI28573
6517_11,CI26221
6525_11,CI26960
6526_11,CI26213
6529_11,CI26855
6533_11,CI23691
6534_11,CI26214
6537_11,CI24531
6538_11,CI23880
6542_11,CI24138
6544_11,CI23975
6546_11,CI23663
6547_11,CI23663
6549_11,CI26216
6552_11,CI25028
6553_11,CI25075
6556_11,CI26212
6557_11,CI26949
6562_11,CI26959
6569_11,CI23691
6572_11,CI23714
6573_11,CI27668
6578_11,CI26855
6580_11,CI24937
6588_11,CI26213
6590_11,CI26961
6596_11,CI26163
6601_11,CI26217
6602_11,CI26217
6603_11,CI26902
6604_11,CI24957
6605_11,CI26212
6613_11,CI26954
6615_11,CI26051
6616_11,CI26213
6617_11,CI23663
6619_11,CI24962
6622_11,CI26211
6627_11,CI23848
6630_11,CI26910
6633_11,CI24530
6634_11,CI24866
6636_11,CI26219
6637_11,CI24917
6642_11,CI24522
6644_11,CI26215
6648_11,CI26219
6649_11,CI23663
6650_11,CI24937
6651_11,CI24939
6652_11,CI24939
6654_11,CI24936
6658_11,CI24187
6662_11,CI26909
6665_11,CI23663
6666_11,CI28576
6670_11,CI26212
6675_11,CI26209
6678_11,CI26214
6679_11,CI24922
6680_11,CI24958
6683_11,CI26923
6686_11,CI23663
6687_11,CI23975
6689_11,CI23848
6691_11,CI24187
6693_11,CI24958
6697_11,CI26959
6700_11,CI26208
6701_11,CI23663
6708_11,CI26941
6709_11,CI27664
6712_11,CI26215
6713_11,CI26961
6714_11,CI27034
6715_11,CI24953
6716_11,CI26214
6724_11,CI24958
6726_11,CI26943
6727_11,CI24531
6730_11,CI26212
6733_11,CI23887
6734_11,CI26209
6738_11,CI26219
6739_11,CI26208
6744_11,CI27667
6746_11,CI26902
6748_11,CI26215
6750_11,CI27034
6752_11,CI23663
6753_11,CI26919
6755_11,CI24876
6757_11,CI26220
6759_11,CI24950
6761_11,CI24530
6764_11,CI26942
6765_11,CI23663
6766_11,CI26214
6767_11,CI25135
6770_11,CI24876
6774_11,CI26217
6775_11,CI24876
6778_11,CI28567
6779_11,CI23691
6780_11,CI23848
6782_11,CI26214
6783_11,CI26208
6784_11,CI23663
6786_11,CI24962
6787_11,CI24525
6788_11,CI24530
6791_11,CI26191
6792_11,CI24866
6793_11,CI26175
6794_11,CI26052
6795_11,CI26219
6796_11,CI24530
6798_11,CI25728
6800_11,CI27037
6801_11,CI26211
6804_11,CI27665
6807_11,CI26213
6808_11,CI24188
6813_11,CI25135
6814_11,CI24944
6816_11,CI23975
6818_11,CI26214
6819_11,CI26212
6828_11,CI25074
6829_11,CI24932
6833_11,CI24187
6836_11,CI25124
6838_11,CI26216
6839_11,CI23780
6840_11,CI26960
6841_11,CI26918
6844_11,CI26220
6845_11,CI26214
6846_11,CI23648
6851_11,CI26214
6855_11,CI26925
6856_11,CI27669
6858_11,CI26215
6860_11,CI26918
6862_11,CI27665
6863_11,CI26958
6864_11,CI23663
6865_11,CI26212
6868_11,CI24228
6871_11,CI25075
6874_11,CI26221
6880_11,CI26191
6883_11,CI28584
6884_11,CI24939
6885_11,CI26209
6890_11,CI24228
6895_11,CI25141
6901_11,CI27034
6902_11,CI26208
6908_11,CI26923
6912_11,CI26961
6913_11,CI26212
6914_11,CI23663
6915_11,CI23714
6917_11,CI25126
6919_11,CI26217
6925_11,CI26210
6926_11,CI26929
6930_11,CI24939
6931_11,CI26959
6936_11,CI24206
6938_11,CI26943
6943_11,CI28584
6946_11,CI26214
6949_11,CI23714
6954_11,CI26213
6955_11,CI26916
6956_11,CI25644
6957_11,CI26216
6961_11,CI23933
6964_11,CI26943
6965_11,CI25141
6969_11,CI23836
6970_11,CI26221
6974_11,CI26950
6979_11,CI26217
6985_11,CI23769
6990_11,CI26219
6994_11,CI25125
7000_11,CI23663
7002_11,CI27681
7003_11,CI26208
7004_11,CI26214
7009_11,CI26217
7012_11,CI26214
7013_11,CI26217
7014_11,CI27795
7015_11,CI26215
7017_11,CI25135
7020_11,CI23781
7021_11,CI24953
7023_11,CI25731
7027_11,CI26221
7028_11,CI26216
7033_11,CI26907
7034_11,CI26865
7035_11,CI26959
7036_11,CI25124
7037_11,CI26941
7046_11,CI26953
7047_11,CI23913
7049_11,CI26172
7058_11,CI24937
7059_11,CI25126
7060_11,CI24958
7063_11,CI23663
7065_11,CI26215
7066_11,CI26954
7068_11,CI27791
7069_11,CI24953
7072_11,CI26918
7074_11,CI26918
7075_11,CI26175
7078_11,CI26956
7079_11,CI26208
7081_11,CI24958
7082_11,CI23848
7085_11,CI23910
7086_11,CI26052
7087_11,CI26946
7091_11,CI23667
7092_11,CI26925
7094_11,CI26928
7101_11,CI24522
7104_11,CI23856
7106_11,CI23714
7108_11,CI26958
7109_11,CI27669
7110_11,CI23714
7111_11,CI23714
7118_11,CI26951
7123_11,CI24530
7124_11,CI23855
7131_11,CI26941
7133_11,CI26165
7134_11,CI23691
7135_11,CI26215
7137_11,CI23663
7139_11,CI26949
7141_11,CI26219
7142_11,CI26961
7147_11,CI24532
7148_11,CI26208
7152_11,CI24031
7154_11,CI24527
7155_11,CI26920
7157_11,CI28582
7163_11,CI23663
7165_11,CI26214
7168_11,CI28576
7170_11,CI26902
7171_11,CI26214
7172_11,CI26213
7175_11,CI26217
7177_11,CI24876
7179_11,CI26219
7180_11,CI23691
7186_11,CI26214
7187_11,CI24958
7189_11,CI26212
7190_11,CI24866
7191_11,CI26211
7193_11,CI24531
7196_11,CI26219
7200_11,CI26218
7203_11,CI26219
7204_11,CI24527
7210_11,CI24534
7211_11,CI24937
7214_11,CI26949
7217_11,CI26220
7218_11,CI25024
7219_11,CI24530
7227_11,CI26946
7228_11,CI26214
7229_11,CI26208
7231_11,CI26219
7237_11,CI26221
7239_11,CI23691
7242_11,CI26951
7251_11,CI24930
7253_11,CI26961
7263_11,CI26903
7269_11,CI24939
7272_11,CI23663
7273_11,CI25141
7280_11,CI24958
7281_11,CI26217
7282_11,CI23648
7286_11,CI24958
7293_11,CI26175
7295_11,CI26219
7307_11,CI26219
7309_11,CI26923
7310_11,CI26219
7311_11,CI26917
7312_11,CI26916
7314_11,CI26221
7316_11,CI26219
7321_11,CI26219
7322_11,CI26219
7324_11,CI26219
7328_11,CI24534
7333_11,CI26214
7336_11,CI24239
7337_11,CI26217
7339_11,CI26217
7340_11,CI28585
7341_11,CI28581
7343_11,CI26220
7344_11,CI26218
7345_11,CI28574
7347_11,CI26177
7350_11,CI26205
7351_11,CI26200
7353_11,CI23663
7358_11,CI23648
7369_11,CI26219
7370_11,CI23740
7371_11,CI26218
7374_11,CI27034
7377_11,CI28574
7378_11,CI26917
7381_11,CI26220
7386_11,CI23975
7389_11,CI26220
7390_11,CI27795
7392_11,CI26215
7394_11,CI26215
7395_11,CI24937
7396_11,CI26216
7403_11,CI23855
7404_11,CI26212
7409_11,CI25175
7411_11,CI23667
7412_11,CI26902
7413_11,CI23975
7414_11,CI23848
7417_11,CI26215
7418_11,CI23975
7419_11,CI28574
7420_11,CI26954
7422_11,CI23848
7426_11,CI23663
7430_11,CI24461
7431_11,CI24532
7432_11,CI26213
7434_11,CI26903
7436_11,CI26221
7437_11,CI26960
7438_11,CI26501
7440_11,CI27034
7442_11,CI26918
7447_11,CI26923
7451_11,CI26219
7454_11,CI26912
7456_11,CI24937
7457_11,CI25926
7462_11,CI27669
7465_11,CI23781
7467_11,CI26941
7468_11,CI24257
7472_11,CI26926
7473_11,CI26221
7478_11,CI26214
7479_11,CI26501
7480_11,CI26836
7482_11,CI25135
7485_11,CI23663
7488_11,CI26212
7489_11,CI26218
7493_11,CI24915
7496_11,CI26218
7497_11,CI26215
7501_11,CI26903
7506_11,CI24962
7507_11,CI26170
7515_11,CI26961
7516_11,CI23929
7521_11,CI26943
7522_11,CI24992
7524_11,CI26902
7529_11,CI23702
7532_11,CI23880
7534_11,CI26943
7535_11,CI26214
7536_11,CI23691
7537_11,CI24530
7538_11,CI26949
7539_11,CI26910
7542_11,CI28573
7546_11,CI26923
7547_11,CI26208
7549_11,CI28569
7550_11,CI24530
7552_11,CI25135
7553_11,CI25075
7554_11,CI26923
7555_11,CI24940
7556_11,CI28569
7560_11,CI23663
7561_11,CI26219
7562_11,CI23714
7565_11,CI28582
7568_11,CI26216
7573_11,CI23663
7578_11,CI27669
7579_11,CI26221
7580_11,CI23913
7584_11,CI26058
7585_11,CI26923
7586_11,CI26219
7596_11,CI28582
7599_11,CI26836
7600_11,CI26902
7602_11,CI23975
7606_11,CI23769
7607_11,CI24952
7611_11,CI26941
7612_11,CI26941
7614_11,CI27667
7620_11,CI26902
7627_11,CI26928
7628_11,CI26215
7629_11,CI23648
7636_11,CI23933
7639_11,CI23769
7652_11,CI26944
7653_11,CI26953
7654_11,CI26214
7660_11,CI26213
7661_11,CI23994
7664_11,CI26214
7666_11,CI24921
7667_11,CI26831
7668_11,CI27034
7671_11,CI24228
7672_11,CI23929
7674_11,CI24187
7679_11,CI26941
7684_11,CI28580
7685_11,CI26951
7686_11,CI26220
7687_11,CI26220
7693_11,CI24927
7694_11,CI24932
7697_11,CI27680
7698_11,CI26219
7700_11,CI25135
7702_11,CI25119
7711_11,CI26961
7714_11,CI24943
7715_11,CI28579
7719_11,CI25075
7722_11,CI26961
7724_11,CI26902
7726_11,CI24138
7727_11,CI26919
7729_11,CI26213
7730_11,CI24944
7732_11,CI23933
7733_11,CI26918
7739_11,CI28578
7746_11,CI26961
7747_11,CI25124
7749_11,CI26919
7751_11,CI24958
7753_11,CI23855
7754_11,CI23663
7756_11,CI23714
7757_11,CI26215
7760_11,CI24952
7762_11,CI26218
7764_11,CI24534
7773_11,CI26217
7776_11,CI26939
7780_11,CI26218
7781_11,CI26200
7784_11,CI23648
7788_11,CI26961
7789_11,CI27667
7792_11,CI25124
7793_11,CI27034
7803_11,CI27796
7809_11,CI26203
7817_11,CI24525
7825_11,CI24138
7829_11,CI26221
7835_11,CI26961
7838_11,CI28574
7842_11,CI26943
7844_11,CI24930
7845_11,CI24935
7851_11,CI26221
7852_11,CI26212
7854_11,CI26215
7855_11,CI24530
7860_11,CI24459
7861_11,CI23612
7862_11,CI26217
7864_11,CI28574
7871_11,CI26214
7874_11,CI26959
7878_11,CI26214
7879_11,CI26907
7880_11,CI26217
7884_11,CI24867
7886_11,CI26216
7888_11,CI24188
7890_11,CI26902
7893_11,CI23839
7897_11,CI24029
7901_11,CI26221
7905_11,CI26218
7906_11,CI28578
7908_11,CI27795
7909_11,CI27035
7910_11,CI26220
7919_11,CI24930
7923_11,CI26218
7930_11,CI26221
7931_11,CI24531
7934_11,CI28580
7942_11,CI24690
7947_11,CI24532
7950_11,CI24942
7954_11,CI24138
7955_11,CI23769
7959_11,CI27665
7964_11,CI26167
7965_11,CI26170
7968_11,CI24187
7970_11,CI26961
7971_11,CI26939
7972_11,CI26959
7975_11,CI27795
7978_11,CI28578
7979_11,CI25056
7983_11,CI24532
7986_11,CI28576
7989_11,CI26961
7990_11,CI24230
7994_11,CI26192
7995_11,CI28572
7999_11,CI26902
8000_11,CI24530
8001_11,CI26902
8003_11,CI24868
8004_11,CI26960
8007_11,CI25634
8015_11,CI24252
8016_11,CI23769
8017_11,CI26219
8022_11,CI23769
8029_11,CI26944
8031_11,CI26214
8032_11,CI24533
8036_11,CI27667
8042_11,CI27665
8045_11,CI27670
8047_11,CI26951
8048_11,CI23887
8053_11,CI24003
8054_11,CI26946
8058_11,CI26219
8059_11,CI26221
8064_11,CI25124
8066_11,CI27038
8068_11,CI26219
8075_11,CI28576
8076_11,CI26213
8078_11,CI24184
8082_11,CI26212
8084_11,CI24527
8086_11,CI28576
8088_11,CI26219
8089_11,CI26902
8092_11,CI23975
8094_11,CI23691
8095_11,CI27795
8100_11,CI26923
8101_11,CI24031
8105_11,CI24958
8106_11,CI26902
8109_11,CI24915
8111_11,CI26221
8113_11,CI26960
8119_11,CI23769
8121_11,CI23663
8122_11,CI26214
8124_11,CI26927
8127_11,CI26215
8131_11,CI27037
8134_11,CI25022
8135_11,CI24917
8136_11,CI27034
8137_11,CI26214
8140_11,CI24915
8143_11,CI28575
8148_11,CI24527
8150_11,CI26217
8152_11,CI25075
8153_11,CI23663
8158_11,CI24348
8159_11,CI26219
8162_11,CI23975
8165_11,CI26214
8170_11,CI26961
8171_11,CI26939
8173_11,CI26943
8175_11,CI26923
8183_11,CI26219
8189_11,CI26214
8190_11,CI24031
8193_11,CI24923
8194_11,CI24926
8196_11,CI26211
8197_11,CI23913
8202_11,CI23880
8203_11,CI26939
8208_11,CI26961
8211_11,CI26215
8217_11,CI26216
8222_11,CI26215
8228_11,CI27797
8231_11,CI24958
8234_11,CI28578
8235_11,CI26939
8237_11,CI26907
8244_11,CI24527
8245_11,CI26218
8246_11,CI23663
8247_11,CI28581
8253_11,CI24532
8256_11,CI23856
8258_11,CI27667
8260_11,CI26216
8261_11,CI25105
8264_11,CI26931
8265_11,CI26221
8269_11,CI23769
8270_11,CI23766
8276_11,CI23848
8279_11,CI25140
8281_11,CI26999
8286_11,CI25093
8290_11,CI25727
8291_11,CI26221
8292_11,CI26161
8294_11,CI23648
8297_11,CI26928
8299_11,CI24939
8303_11,CI28576
8304_11,CI23714
8305_11,CI23663
8319_11,CI25124
8320_11,CI24958
8322_11,CI26952
8327_11,CI23766
8328_11,CI26213
8329_11,CI24871
8330_11,CI28574
8333_11,CI28578
8334_11,CI26939
8335_11,CI26923
8336_11,CI24187
8338_11,CI26927
8339_11,CI25124
8344_11,CI26903
8348_11,CI24915
8349_11,CI25141
8353_11,CI26925
8356_11,CI24925
8357_11,CI26220
8358_11,CI23769
8365_11,CI26215
8366_11,CI26220
8367_11,CI24532
8369_11,CI24876
8371_11,CI27667
8374_11,CI26192
8375_11,CI25634
8376_11,CI26214
