user_sequence,challenge
5228_11,CI25135
5229_11,CI24962
5230_11,CI23855
5234_11,CI26943
5235_11,CI24868
5236_11,CI23714
5239_11,CI26960
5240_11,CI26213
5244_11,CI23667
5246_11,CI23663
5247_11,CI26939
5249_11,CI23667
5250_11,CI24532
5252_11,CI23855
5254_11,CI26051
5258_11,CI26209
5260_11,CI28576
5262_11,CI26949
5264_11,CI26211
5265_11,CI26961
5266_11,CI26915
5268_11,CI26958
5271_11,CI26209
5283_11,CI28576
5284_11,CI28574
5286_11,CI27663
5289_11,CI24936
5297_11,CI26209
5301_11,CI23667
5303_11,CI23648
5305_11,CI26211
5309_11,CI23839
5315_11,CI26211
5319_11,CI25375
5320_11,CI24257
5326_11,CI26209
5327_11,CI26957
5328_11,CI23714
5329_11,CI23848
5331_11,CI26211
5333_11,CI26209
5338_11,CI23714
5340_11,CI26214
5346_11,CI23856
5349_11,CI23714
5351_11,CI25125
5352_11,CI28580
5358_11,CI24138
5360_11,CI24187
5365_11,CI24953
5366_11,CI27664
5368_11,CI24184
5378_11,CI26219
5381_11,CI25126
5382_11,CI27032
5384_11,CI26209
5386_11,CI24532
5387_11,CI23691
5396_11,CI26213
5398_11,CI28580
5399_11,CI26960
5401_11,CI24532
5404_11,CI26915
5406_11,CI23663
5409_11,CI26217
5417_11,CI24527
5423_11,CI24931
5424_11,CI23691
5425_11,CI26209
5428_11,CI23927
5435_11,CI26221
5436_11,CI26209
5438_11,CI24876
5440_11,CI23714
5442_11,CI26209
5443_11,CI26211
5444_11,CI26961
5446_11,CI26943
5450_11,CI24093
5451_11,CI23975
5453_11,CI26213
5454_11,CI28574
5456_11,CI24918
5460_11,CI26949
5461_11,CI23933
5462_11,CI23691
5470_11,CI27665
5471_11,CI26213
5473_11,CI26949
5477_11,CI27038
5480_11,CI25135
5481_11,CI26209
5483_11,CI26949
5485_11,CI27038
5486_11,CI23975
5487_11,CI26212
5490_11,CI26960
5495_11,CI26918
5496_11,CI26960
5504_11,CI26175
5507_11,CI28580
5510_11,CI26957
5512_11,CI26956
5516_11,CI24932
5523_11,CI26961
5526_11,CI26212
5527_11,CI25125
5528_11,CI26939
5529_11,CI24031
5531_11,CI26214
5532_11,CI26154
5533_11,CI26915
5539_11,CI24532
5543_11,CI26162
5547_11,CI23975
5555_11,CI26173
5556_11,CI26209
5561_11,CI26212
5563_11,CI28580
5565_11,CI28568
5568_11,CI24958
5573_11,CI23855
5574_11,CI27032
5577_11,CI26209
5579_11,CI26209
5582_11,CI26956
5584_11,CI26208
5599_11,CI25075
5604_11,CI26209
5607_11,CI24954
5608_11,CI26212
5612_11,CI24138
5616_11,CI24968
5620_11,CI24109
5622_11,CI25135
5623_11,CI26162
5628_11,CI26175
5629_11,CI28584
5632_11,CI24531
5642_11,CI26961
5644_11,CI26923
5645_11,CI26960
5647_11,CI24228
5648_11,CI26953
5652_11,CI23975
5655_11,CI26221
5660_11,CI25127
5663_11,CI26959
5664_11,CI26961
5665_11,CI26915
5667_11,CI25075
5668_11,CI27717
5669_11,CI24522
5676_11,CI26960
5677_11,CI25126
5684_11,CI24138
5685_11,CI23663
5686_11,CI28571
5690_11,CI26960
5691_11,CI25124
5692_11,CI26175
5693_11,CI24031
5695_11,CI26221
5698_11,CI26175
5708_11,CI23887
5709_11,CI25732
5712_11,CI24867
5714_11,CI26213
5720_11,CI23848
5721_11,CI24958
5723_11,CI24939
5726_11,CI24937
5733_11,CI23855
5735_11,CI27038
5739_11,CI23691
5741_11,CI26961
5743_11,CI24530
5745_11,CI23769
5746_11,CI24958
5747_11,CI24261
5748_11,CI26219
5750_11,CI26214
5755_11,CI23848
5756_11,CI23714
5766_11,CI26218
5768_11,CI24958
5771_11,CI26208
5772_11,CI23714
5774_11,CI28582
5778_11,CI25123
5780_11,CI25053
5782_11,CI28569
5785_11,CI25052
5787_11,CI26949
5791_11,CI23663
5795_11,CI25735
5796_11,CI26918
5798_11,CI26958
5801_11,CI24138
5803_11,CI26918
5804_11,CI26221
5805_11,CI23714
5808_11,CI26961
5809_11,CI24876
5810_11,CI26213
5820_11,CI26165
5822_11,CI23848
5823_11,CI24139
5825_11,CI26960
5827_11,CI23975
5828_11,CI24530
5829_11,CI28583
5831_11,CI26961
5832_11,CI24953
5834_11,CI26213
5835_11,CI26211
5839_11,CI26209
5841_11,CI27035
5843_11,CI27038
5845_11,CI27032
5846_11,CI26220
5847_11,CI23612
5849_11,CI26949
5853_11,CI26213
5858_11,CI26216
5863_11,CI23769
5868_11,CI26191
5869_11,CI26953
5871_11,CI26213
5873_11,CI26501
5875_11,CI26179
5877_11,CI23766
5878_11,CI23839
5881_11,CI27665
5882_11,CI26213
5885_11,CI26175
5886_11,CI23975
5887_11,CI28577
5888_11,CI23880
5889_11,CI23663
5892_11,CI25126
5894_11,CI24868
5896_11,CI26221
5897_11,CI24187
5898_11,CI26215
5899_11,CI25179
5903_11,CI26961
5904_11,CI23714
5909_11,CI23663
5912_11,CI26216
5915_11,CI26211
5924_11,CI26209
5925_11,CI25143
5930_11,CI26956
5931_11,CI26216
5932_11,CI24184
5936_11,CI24935
5937_11,CI23714
5938_11,CI25375
5939_11,CI26213
5941_11,CI24030
5944_11,CI25053
5948_11,CI26214
5951_11,CI24868
5952_11,CI28585
5953_11,CI26051
5955_11,CI23933
5957_11,CI26209
5958_11,CI26949
5959_11,CI27664
5960_11,CI26175
5964_11,CI26175
5967_11,CI27662
5970_11,CI27661
5971_11,CI26219
5975_11,CI24527
5976_11,CI24866
5980_11,CI24953
5983_11,CI23691
5984_11,CI23691
5986_11,CI25075
5989_11,CI26918
5990_11,CI26051
5994_11,CI26213
6001_11,CI26175
6002_11,CI24531
6004_11,CI26942
6006_11,CI23933
6008_11,CI25125
6009_11,CI23975
6014_11,CI23663
6015_11,CI26220
6017_11,CI23663
6019_11,CI26960
6022_11,CI26209
6024_11,CI27470
6026_11,CI27661
6027_11,CI23541
6031_11,CI26943
6033_11,CI26213
6039_11,CI23648
6043_11,CI26916
6044_11,CI26211
6047_11,CI26221
6057_11,CI24992
6063_11,CI26902
6065_11,CI23836
6073_11,CI26209
6079_11,CI24915
6083_11,CI26217
6085_11,CI24921
6088_11,CI26212
6091_11,CI26213
6096_11,CI26216
6098_11,CI27660
6103_11,CI23691
6107_11,CI26219
6109_11,CI26175
6111_11,CI26212
6112_11,CI28585
6113_11,CI25126
6115_11,CI26214
6124_11,CI26212
6126_11,CI24958
6127_11,CI28582
6136_11,CI24187
6138_11,CI26961
6142_11,CI24958
6145_11,CI23648
6151_11,CI24962
6157_11,CI28574
6159_11,CI24868
6163_11,CI26212
6164_11,CI26208
6165_11,CI24868
6170_11,CI27034
6171_11,CI26212
6172_11,CI26214
6176_11,CI28573
6182_11,CI26209
6187_11,CI26213
6189_11,CI24228
6190_11,CI26212
6191_11,CI23913
6197_11,CI26055
6199_11,CI26209
6203_11,CI24527
6204_11,CI24939
6210_11,CI23714
6211_11,CI26916
6212_11,CI24138
6214_11,CI25126
6215_11,CI24530
6218_11,CI26214
6222_11,CI24138
6223_11,CI23855
6226_11,CI26959
6229_11,CI26221
6233_11,CI26214
6237_11,CI24532
6239_11,CI27665
6240_11,CI24530
6241_11,CI23691
6243_11,CI26214
6245_11,CI24527
6246_11,CI26954
6249_11,CI26960
6252_11,CI24958
6258_11,CI24943
6261_11,CI26208
6268_11,CI28573
6272_11,CI24868
6273_11,CI26949
6274_11,CI24953
6277_11,CI23663
6278_11,CI26214
6281_11,CI28572
6282_11,CI26214
6285_11,CI26215
6287_11,CI26219
6288_11,CI26209
6289_11,CI25135
6296_11,CI25126
6297_11,CI26216
6299_11,CI24915
6303_11,CI24915
6307_11,CI26216
6309_11,CI23691
6312_11,CI27669
6315_11,CI26211
6318_11,CI26208
6329_11,CI26175
6333_11,CI27031
6338_11,CI24525
6342_11,CI23830
6344_11,CI24929
6347_11,CI28576
6356_11,CI26953
6358_11,CI26220
6361_11,CI26939
6365_11,CI23714
6374_11,CI26960
6378_11,CI26953
6379_11,CI26903
6381_11,CI26949
6382_11,CI23663
6386_11,CI26212
6389_11,CI26949
6390_11,CI24915
6391_11,CI24866
6392_11,CI26956
6395_11,CI24915
6396_11,CI26215
6399_11,CI26957
6400_11,CI26220
6401_11,CI26219
6409_11,CI26208
6410_11,CI24868
6411_11,CI26956
6415_11,CI26956
6416_11,CI26216
6420_11,CI26960
6425_11,CI26221
6427_11,CI26216
6428_11,CI25137
6430_11,CI28584
6434_11,CI26960
6435_11,CI23975
6439_11,CI25074
6446_11,CI26212
6450_11,CI28570
6451_11,CI23714
6456_11,CI26219
6467_11,CI23887
6470_11,CI23663
6471_11,CI23663
6477_11,CI28582
6479_11,CI26209
6481_11,CI26958
6482_11,CI26949
6486_11,CI26949
6491_11,CI25769
6492_11,CI23714
6493_11,CI23769
6496_11,CI26960
6499_11,CI25126
6500_11,CI26209
6505_11,CI26051
6506_11,CI26216
6513_11,CI27661
6514_11,CI26957
6516_11,CI28573
6517_11,CI26216
6525_11,CI26960
6526_11,CI26175
6529_11,CI26902
6533_11,CI25740
6534_11,CI26208
6537_11,CI24531
6538_11,CI23848
6542_11,CI24138
6544_11,CI24958
6546_11,CI23663
6547_11,CI24532
6549_11,CI26216
6552_11,CI25028
6553_11,CI24459
6556_11,CI26212
6557_11,CI26960
6562_11,CI26958
6569_11,CI25075
6572_11,CI23933
6573_11,CI27660
6578_11,CI26158
6580_11,CI24937
6588_11,CI26211
6590_11,CI26961
6596_11,CI26165
6601_11,CI26217
6602_11,CI26220
6603_11,CI26902
6604_11,CI24868
6605_11,CI26212
6613_11,CI26954
6615_11,CI23663
6616_11,CI26213
6617_11,CI25126
6619_11,CI23880
6622_11,CI26170
6627_11,CI23855
6630_11,CI26902
6633_11,CI23975
6634_11,CI26051
6636_11,CI26220
6637_11,CI24529
6642_11,CI24876
6644_11,CI26220
6648_11,CI26219
6649_11,CI23913
6650_11,CI24925
6651_11,CI24939
6652_11,CI24937
6654_11,CI24929
6658_11,CI24958
6662_11,CI26902
6665_11,CI25140
6666_11,CI23933
6670_11,CI26212
6675_11,CI26211
6678_11,CI26214
6679_11,CI25053
6680_11,CI23848
6683_11,CI26923
6686_11,CI23663
6687_11,CI23975
6689_11,CI24876
6691_11,CI23769
6693_11,CI23663
6697_11,CI26960
6700_11,CI26208
6701_11,CI23663
6708_11,CI26949
6709_11,CI27665
6712_11,CI26162
6713_11,CI26961
6714_11,CI27034
6715_11,CI25302
6716_11,CI26214
6724_11,CI25124
6726_11,CI26955
6727_11,CI24866
6730_11,CI26212
6733_11,CI23848
6734_11,CI26209
6738_11,CI26220
6739_11,CI26214
6744_11,CI27669
6746_11,CI26902
6748_11,CI26220
6750_11,CI27038
6752_11,CI23663
6753_11,CI26919
6755_11,CI24958
6757_11,CI26220
6759_11,CI25125
6761_11,CI24530
6764_11,CI26952
6765_11,CI23769
6766_11,CI26212
6767_11,CI25126
6770_11,CI25075
6774_11,CI26217
6775_11,CI24206
6778_11,CI23848
6779_11,CI23691
6780_11,CI23691
6782_11,CI26216
6783_11,CI26214
6784_11,CI23663
6786_11,CI24962
6787_11,CI25135
6788_11,CI24138
6791_11,CI26192
6792_11,CI24527
6793_11,CI26175
6794_11,CI25126
6795_11,CI26219
6796_11,CI23975
6798_11,CI25135
6800_11,CI27038
6801_11,CI26211
6804_11,CI27670
6807_11,CI26213
6808_11,CI23933
6813_11,CI26051
6814_11,CI23855
6816_11,CI23714
6818_11,CI26212
6819_11,CI26212
6828_11,CI24138
6829_11,CI24929
6833_11,CI23648
6836_11,CI23663
6838_11,CI26212
6839_11,CI24533
6840_11,CI26960
6841_11,CI26918
6844_11,CI26215
6845_11,CI26214
6846_11,CI23648
6851_11,CI26212
6855_11,CI26925
6856_11,CI27664
6858_11,CI26215
6860_11,CI26918
6862_11,CI27664
6863_11,CI26958
6864_11,CI23691
6865_11,CI26212
6868_11,CI23848
6871_11,CI23714
6874_11,CI26219
6880_11,CI26191
6883_11,CI28586
6884_11,CI24937
6885_11,CI26175
6890_11,CI23691
6895_11,CI24117
6901_11,CI27038
6902_11,CI26208
6908_11,CI26921
6912_11,CI26961
6913_11,CI26212
6914_11,CI23663
6915_11,CI24426
6917_11,CI23839
6919_11,CI26217
6925_11,CI26210
6926_11,CI26926
6930_11,CI24939
6931_11,CI26960
6936_11,CI23663
6938_11,CI26943
6943_11,CI28584
6946_11,CI26214
6949_11,CI23714
6954_11,CI26214
6955_11,CI26916
6956_11,CI24955
6957_11,CI26212
6961_11,CI23663
6964_11,CI26953
6965_11,CI23648
6969_11,CI25126
6970_11,CI26215
6974_11,CI26944
6979_11,CI26219
6985_11,CI24138
6990_11,CI26219
6994_11,CI23714
7000_11,CI23663
7002_11,CI27680
7003_11,CI26208
7004_11,CI26212
7009_11,CI26218
7012_11,CI26221
7013_11,CI26217
7014_11,CI27797
7015_11,CI26215
7017_11,CI25137
7020_11,CI24954
7021_11,CI23697
7023_11,CI24953
7027_11,CI26221
7028_11,CI26218
7033_11,CI26907
7034_11,CI26865
7035_11,CI26960
7036_11,CI23887
7037_11,CI26955
7046_11,CI26954
7047_11,CI23769
7049_11,CI26213
7058_11,CI24937
7059_11,CI24953
7060_11,CI26055
7063_11,CI23663
7065_11,CI26220
7066_11,CI26954
7068_11,CI27791
7069_11,CI24958
7072_11,CI26918
7074_11,CI26918
7075_11,CI26208
7078_11,CI26956
7079_11,CI26208
7081_11,CI25135
7082_11,CI25126
7085_11,CI23910
7086_11,CI24953
7087_11,CI26949
7091_11,CI24531
7092_11,CI26922
7094_11,CI26930
7101_11,CI24522
7104_11,CI23839
7106_11,CI25135
7108_11,CI26958
7109_11,CI27668
7110_11,CI23714
7111_11,CI23691
7118_11,CI26951
7123_11,CI24138
7124_11,CI24992
7131_11,CI26955
7133_11,CI26165
7134_11,CI23714
7135_11,CI26220
7137_11,CI24139
7139_11,CI26949
7141_11,CI26219
7142_11,CI26961
7147_11,CI26058
7148_11,CI26214
7152_11,CI24876
7154_11,CI24876
7155_11,CI26908
7157_11,CI28582
7163_11,CI24690
7165_11,CI26212
7168_11,CI28571
7170_11,CI26220
7171_11,CI26212
7172_11,CI26213
7175_11,CI26217
7177_11,CI24532
7179_11,CI26219
7180_11,CI24915
7186_11,CI26216
7187_11,CI24958
7189_11,CI26212
7190_11,CI23714
7191_11,CI26170
7193_11,CI24521
7196_11,CI26221
7200_11,CI26220
7203_11,CI26217
7204_11,CI24527
7210_11,CI24138
7211_11,CI24937
7214_11,CI26949
7217_11,CI26220
7218_11,CI24883
7219_11,CI23714
7227_11,CI26955
7228_11,CI26214
7229_11,CI26212
7231_11,CI26219
7237_11,CI26221
7239_11,CI24866
7242_11,CI26949
7251_11,CI24937
7253_11,CI26959
7263_11,CI26220
7269_11,CI24927
7272_11,CI24876
7273_11,CI24530
7280_11,CI25126
7281_11,CI26212
7282_11,CI23648
7286_11,CI24252
7293_11,CI26208
7295_11,CI26217
7307_11,CI26220
7309_11,CI26923
7310_11,CI26219
7311_11,CI26917
7312_11,CI26916
7314_11,CI26220
7316_11,CI26218
7321_11,CI26218
7322_11,CI26220
7324_11,CI26218
7328_11,CI24525
7333_11,CI26221
7336_11,CI23663
7337_11,CI26217
7339_11,CI26218
7340_11,CI28585
7341_11,CI28581
7343_11,CI26220
7344_11,CI26219
7345_11,CI28574
7347_11,CI25634
7350_11,CI26205
7351_11,CI26201
7353_11,CI24228
7358_11,CI24876
7369_11,CI26215
7370_11,CI23740
7371_11,CI26218
7374_11,CI27032
7377_11,CI28568
7378_11,CI26917
7381_11,CI26220
7386_11,CI25126
7389_11,CI26220
7390_11,CI27791
7392_11,CI26215
7394_11,CI26902
7395_11,CI24937
7396_11,CI26211
7403_11,CI24958
7404_11,CI26221
7409_11,CI24915
7411_11,CI24530
7412_11,CI26162
7413_11,CI24958
7414_11,CI24527
7417_11,CI26220
7418_11,CI24915
7419_11,CI28574
7420_11,CI26954
7422_11,CI25143
7426_11,CI25124
7430_11,CI27416
7431_11,CI24031
7432_11,CI26211
7434_11,CI26903
7436_11,CI26221
7437_11,CI26960
7438_11,CI26501
7440_11,CI27038
7442_11,CI26918
7447_11,CI26922
7451_11,CI26219
7454_11,CI26911
7456_11,CI24922
7457_11,CI24927
7462_11,CI27669
7465_11,CI24187
7467_11,CI26942
7468_11,CI23691
7472_11,CI26922
7473_11,CI26219
7478_11,CI26221
7479_11,CI26501
7480_11,CI26836
7482_11,CI25141
7485_11,CI25140
7488_11,CI26220
7489_11,CI26218
7493_11,CI23663
7496_11,CI26218
7497_11,CI26218
7501_11,CI26902
7506_11,CI24962
7507_11,CI26170
7515_11,CI26960
7516_11,CI23663
7521_11,CI26953
7522_11,CI24968
7524_11,CI26902
7529_11,CI23663
7532_11,CI23769
7534_11,CI26953
7535_11,CI26217
7536_11,CI24530
7537_11,CI23714
7538_11,CI26955
7539_11,CI26902
7542_11,CI28572
7546_11,CI26923
7547_11,CI26208
7549_11,CI28580
7550_11,CI24031
7552_11,CI23691
7553_11,CI25075
7554_11,CI26920
7555_11,CI24937
7556_11,CI28585
7560_11,CI23975
7561_11,CI26219
7562_11,CI24931
7565_11,CI28576
7568_11,CI26212
7573_11,CI24531
7578_11,CI27664
7579_11,CI26218
7580_11,CI24521
7584_11,CI26058
7585_11,CI26923
7586_11,CI26218
7596_11,CI28585
7599_11,CI26836
7600_11,CI26213
7602_11,CI25024
7606_11,CI23691
7607_11,CI24957
7611_11,CI26939
7612_11,CI26949
7614_11,CI27671
7620_11,CI26902
7627_11,CI26929
7628_11,CI26215
7629_11,CI24876
7636_11,CI25339
7639_11,CI25056
7652_11,CI26944
7653_11,CI26941
7654_11,CI26214
7660_11,CI26213
7661_11,CI28046
7664_11,CI26211
7666_11,CI24937
7667_11,CI26831
7668_11,CI27038
7671_11,CI23769
7672_11,CI28574
7674_11,CI24534
7679_11,CI26941
7684_11,CI23855
7685_11,CI26955
7686_11,CI26220
7687_11,CI26220
7693_11,CI24925
7694_11,CI24931
7697_11,CI27681
7698_11,CI26215
7700_11,CI24418
7702_11,CI25634
7711_11,CI26961
7714_11,CI24943
7715_11,CI28581
7719_11,CI23714
7722_11,CI26961
7724_11,CI26220
7726_11,CI25126
7727_11,CI26920
7729_11,CI26213
7730_11,CI25135
7732_11,CI24138
7733_11,CI26920
7739_11,CI28578
7746_11,CI26939
7747_11,CI25124
7749_11,CI26923
7751_11,CI23714
7753_11,CI23855
7754_11,CI23975
7756_11,CI23714
7757_11,CI26215
7760_11,CI24968
7762_11,CI26218
7764_11,CI24868
7773_11,CI26220
7776_11,CI26949
7780_11,CI26218
7781_11,CI26201
7784_11,CI23769
7788_11,CI26961
7789_11,CI27666
7792_11,CI23691
7793_11,CI27031
7803_11,CI27797
7809_11,CI26189
7817_11,CI24261
7825_11,CI23880
7829_11,CI26217
7835_11,CI26960
7838_11,CI28571
7842_11,CI26949
7844_11,CI24930
7845_11,CI24935
7851_11,CI26220
7852_11,CI26212
7854_11,CI26220
7855_11,CI25107
7860_11,CI24532
7861_11,CI26050
7862_11,CI26217
7864_11,CI28570
7871_11,CI26214
7874_11,CI26960
7878_11,CI26214
7879_11,CI26910
7880_11,CI26217
7884_11,CI24867
7886_11,CI26221
7888_11,CI23714
7890_11,CI26902
7893_11,CI23769
7897_11,CI24958
7901_11,CI26219
7905_11,CI26218
7906_11,CI28578
7908_11,CI27795
7909_11,CI27035
7910_11,CI26220
7919_11,CI24930
7923_11,CI26218
7930_11,CI26219
7931_11,CI24876
7934_11,CI28580
7942_11,CI23770
7947_11,CI24532
7950_11,CI24936
7954_11,CI23848
7955_11,CI25142
7959_11,CI27664
7964_11,CI26168
7965_11,CI26174
7968_11,CI24968
7970_11,CI26961
7971_11,CI26959
7972_11,CI26959
7975_11,CI27795
7978_11,CI28578
7979_11,CI24958
7983_11,CI24868
7986_11,CI28571
7989_11,CI26961
7990_11,CI24230
7994_11,CI26191
7995_11,CI23933
7999_11,CI26902
8000_11,CI23769
8001_11,CI26902
8003_11,CI24956
8004_11,CI26960
8007_11,CI25634
8015_11,CI24871
8016_11,CI25125
8017_11,CI26218
8022_11,CI24532
8029_11,CI26943
8031_11,CI26218
8032_11,CI23855
8036_11,CI27665
8042_11,CI27666
8045_11,CI27671
8047_11,CI26949
8048_11,CI23887
8053_11,CI23887
8054_11,CI26953
8058_11,CI26221
8059_11,CI26214
8064_11,CI25124
8066_11,CI27038
8068_11,CI26221
8075_11,CI28574
8076_11,CI26212
8078_11,CI24533
8082_11,CI26212
8084_11,CI24257
8086_11,CI28584
8088_11,CI26220
8089_11,CI26902
8092_11,CI23667
8094_11,CI23691
8095_11,CI27795
8100_11,CI26923
8101_11,CI24031
8105_11,CI24958
8106_11,CI26902
8109_11,CI23691
8111_11,CI26220
8113_11,CI26960
8119_11,CI23691
8121_11,CI24957
8122_11,CI26212
8124_11,CI26927
8127_11,CI26219
8131_11,CI27028
8134_11,CI23975
8135_11,CI23663
8136_11,CI27035
8137_11,CI26216
8140_11,CI24956
8143_11,CI28578
8148_11,CI23769
8150_11,CI26217
8152_11,CI25075
8153_11,CI23663
8158_11,CI23830
8159_11,CI26219
8162_11,CI23975
8165_11,CI26221
8170_11,CI26961
8171_11,CI26952
8173_11,CI26939
8175_11,CI26921
8183_11,CI26218
8189_11,CI26214
8190_11,CI24534
8193_11,CI24939
8194_11,CI25053
8196_11,CI26166
8197_11,CI28123
8202_11,CI23880
8203_11,CI26952
8208_11,CI26961
8211_11,CI26217
8217_11,CI26216
8222_11,CI26902
8228_11,CI27797
8231_11,CI24117
8234_11,CI28578
8235_11,CI26949
8237_11,CI26903
8244_11,CI23848
8245_11,CI26218
8246_11,CI23663
8247_11,CI28580
8253_11,CI24527
8256_11,CI24527
8258_11,CI27669
8260_11,CI26212
8261_11,CI24915
8264_11,CI26929
8265_11,CI26216
8269_11,CI24184
8270_11,CI23762
8276_11,CI23663
8279_11,CI24031
8281_11,CI26999
8286_11,CI25093
8290_11,CI26251
8291_11,CI26216
8292_11,CI26902
8294_11,CI24868
8297_11,CI26930
8299_11,CI24939
8303_11,CI23697
8304_11,CI23714
8305_11,CI23663
8319_11,CI23714
8320_11,CI23887
8322_11,CI26953
8327_11,CI23910
8328_11,CI26213
8329_11,CI24868
8330_11,CI28579
8333_11,CI28578
8334_11,CI26949
8335_11,CI26923
8336_11,CI23546
8338_11,CI26930
8339_11,CI23714
8344_11,CI26902
8348_11,CI26051
8349_11,CI24958
8353_11,CI26922
8356_11,CI24926
8357_11,CI26220
8358_11,CI25135
8365_11,CI26220
8366_11,CI26220
8367_11,CI24532
8369_11,CI24868
8371_11,CI27664
8374_11,CI26191
8375_11,CI27078
8376_11,CI26220
